youtube_id,channel_id,channel_name,language
i6a3YXH7gA0,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
gapqGwCv8UI,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
CkAT-wm_X2M,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
3wAUSrtCpzE,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
AkMGP9me0DQ,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
2f7Qb5jsuL4,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
EAyk2OsKvtU,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
nVPSXiC8DRQ,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
0BGPOwK0KE4,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
G10m2ZZRH4U,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
Vt3kdbyzt_Q,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
9EchOuIE7DI,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
92qar8jn8dg,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
lH6XEvgQD3g,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
kvARvzMErnk,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
ScDfIHAeM3Q,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
NVKO7UCIlgs,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
fcqu-zdJlVg,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
_k9egfWvb7Y,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
WkQJrj3bmBw,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
IFIfTuB-2w8,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
eg1all1SENU,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
3bLOID1mX8M,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
COj2ECsy410,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
yME3l1bQN5c,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
HgCXdNhVC1Q,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
GFb4yNrDOyY,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
3wFS4wGgeS0,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
mXaad0rsV38,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
f76hJHh1oGY,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
YkR_lPM8R1E,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
aBtN4uXk28w,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
0vcJglfCgFM,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
WBjY3QGNdAw,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
7a1f4IId9D4,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
DZo_FNhU3Xs,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
Vmgj0yednzc,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
CrfhLRgGjZs,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
RKwIhEVK_A8,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
LgrXd0NM2y8,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
qrb2v9npTJo,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
c8nU8yXh2yU,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
4kjGD3277_8,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
3LyFap2aUN0,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
zfka6DzLJf8,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
hTbWcKHBI8I,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
s4sQOBQgyaY,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
-i0InwW0V9k,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
8T11qNQ4ev0,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
I9ML4iHRGJ0,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
RNboeLpkWwA,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
DTViOul0KOY,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
U9nh-3nxHGI,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
DF5lAn6U6eI,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
CNQf9vZqv7k,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
_6bAHuPWfSQ,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
4DqmMlbF5EI,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
ZVLifuMK79A,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
40HDy0GHSeM,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
He30D8M5fNc,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
_Ndy2MH9wjs,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
H0kyDiRMFp0,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
JxM3PQAWngQ,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
UQv4oEAkiYg,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
eAUC81p8WMU,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
mUxt--mMjwA,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
Vzb_CZ2jO4Y,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
zQOaKAkRuG0,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
2OSrvzNW9FE,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
5tP3NUc7794,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
pK4seEeSP-4,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
t0Vnbg2K8VE,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
kj3gFYFlmEc,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
cO57Zm-WNmg,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
3aehewYF8MQ,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
CGT0okYR-gU,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
5RLQ9WMP2Es,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
sKIfxZwoQWc,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
IJ6GfBOYeLc,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
ETeegALr8NU,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
0RyLNfM1Xfw,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
hie_Goi_73Y,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
stRPiifxQnM,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
dSo3flX9noo,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
QD3hbVG1yxM,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
9qziRX5_XNw,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
T_gCnf9-qW0,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
0sP5kFXbHrM,UCaY08MNW5C097-0je7xT6fA,Научпок,ru
SQggDnScsvI,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
6YOz9Pxnzho,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
rv4MjaF_wow,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
Rwa26CXG1fc,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
eNx9tvCrvv8,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
1Xp_imnO6WE,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
zUDqI9PJpc8,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
BD6h-wDj7bw,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
XBr4GkRnY04,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
C_covjcIcZ4,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
-zShHRkwSoI,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,en
